iter	Logloss
0	0.6424945434
1	0.599399698
2	0.5598654687
3	0.5250047389
4	0.4940326967
5	0.4636708389
6	0.4402572532
7	0.4203154491
8	0.3978527602
9	0.3819074971
10	0.3648008404
11	0.3502421672
12	0.3367907264
13	0.3235131383
14	0.3132004395
15	0.3043886039
16	0.2943501751
17	0.2851200153
18	0.2767888665
19	0.2676400275
20	0.262379378
21	0.2564828849
22	0.2512323419
23	0.2447212609
24	0.240069891
25	0.2354344764
26	0.2300392442
27	0.2265040689
28	0.2226285723
29	0.2198079776
30	0.2164318011
31	0.2133426339
32	0.210641374
33	0.2073330615
34	0.2050366862
35	0.2019180338
36	0.1994277679
37	0.1967429048
38	0.1947249014
39	0.192293385
40	0.1903764042
41	0.1886702285
42	0.1866698494
43	0.1847245145
44	0.1828612581
45	0.1810778109
46	0.1798959913
47	0.1780620186
48	0.1767394381
49	0.1755018809
50	0.1739514221
51	0.1717990103
52	0.1707275275
53	0.1693076149
54	0.1679380844
55	0.1666531982
56	0.1652442976
57	0.1642474927
58	0.1632913554
59	0.1622121666
60	0.1608555265
61	0.1594706566
62	0.1583590397
63	0.1574101101
64	0.1564688798
65	0.1558169162
66	0.1548866849
67	0.1542669403
68	0.1534695391
69	0.1524913655
70	0.1515641687
71	0.1510820449
72	0.150474041
73	0.1498604298
74	0.1491845355
75	0.1482015923
76	0.1477703101
77	0.1471809648
78	0.1466579823
79	0.1461917265
80	0.1455980876
81	0.1451114305
82	0.1445505405
83	0.1440073949
84	0.1435227632
85	0.1429620923
86	0.1421976702
87	0.141705679
88	0.1407813737
89	0.1399624769
90	0.1396429769
91	0.1387738487
92	0.1383899181
93	0.1379103646
94	0.1376270855
95	0.137043327
96	0.1365748346
97	0.1361545134
98	0.1355363507
99	0.1350814394
100	0.1348549674
101	0.1345321933
102	0.134164515
103	0.1338286605
104	0.1333467468
105	0.1329819334
106	0.1327803436
107	0.1323947655
108	0.1318772261
109	0.1316019743
110	0.131149237
111	0.1307449329
112	0.1305279858
113	0.1301413372
114	0.1299426174
115	0.1296797912
116	0.129382774
117	0.1291178036
118	0.1288806261
119	0.1285328292
120	0.128350767
121	0.1281182999
122	0.127817556
123	0.1274304868
124	0.1271273211
125	0.1269423517
126	0.1267271589
127	0.1264805967
128	0.1262273344
129	0.1260236606
130	0.1257802851
131	0.1256182822
132	0.1253061598
133	0.1249867239
134	0.1247102484
135	0.1245223422
136	0.1241333568
137	0.1239169026
138	0.1237109321
139	0.1235367116
140	0.1233265316
141	0.1229715528
142	0.1227064183
143	0.1224907558
144	0.1222404889
145	0.1218224299
146	0.1215417518
147	0.1213067739
148	0.1211942882
149	0.1210343023
150	0.1208403428
151	0.1205677057
152	0.1204363401
153	0.1202031827
154	0.1199577239
155	0.1196812375
156	0.1195391812
157	0.1193056731
158	0.1191329375
159	0.118851287
160	0.1187167134
161	0.1185680145
162	0.1184558818
163	0.1183168943
164	0.118164878
165	0.1180281018
166	0.1179063141
167	0.1177494782
168	0.1175295889
169	0.1173294683
170	0.1171662709
171	0.117007419
172	0.116846671
173	0.1166709063
174	0.1165572018
175	0.1164360505
176	0.116347328
177	0.1162213243
178	0.1161100146
179	0.1159914262
180	0.1158659594
181	0.115681875
182	0.1155406717
183	0.115436259
184	0.1152980799
185	0.1151984305
186	0.1150814766
187	0.114987752
188	0.1146901987
189	0.1145723625
190	0.1143070328
191	0.1141772631
192	0.1140531019
193	0.113835421
194	0.1137216056
195	0.1135418975
196	0.1134339445
197	0.1132950107
198	0.1132040686
199	0.1129662772
200	0.1127606794
201	0.1126611879
202	0.1125659994
203	0.1124051851
204	0.1122826441
205	0.1122083497
206	0.1120970227
207	0.1118867395
208	0.1117848685
209	0.1116318454
210	0.1114783861
211	0.1112241543
212	0.111136111
213	0.111017687
214	0.1109360916
215	0.1108631226
216	0.1107219509
217	0.1105332011
218	0.1104605149
219	0.1103582372
220	0.1102774315
221	0.1101647946
222	0.110077926
223	0.1100135823
224	0.1098961676
225	0.1097979069
226	0.1096824825
227	0.1096168616
228	0.1094701225
229	0.1092797754
230	0.1091612837
231	0.1088824683
232	0.1088141035
233	0.1087633345
234	0.1086909311
235	0.1085941092
236	0.1085160687
237	0.1084359388
238	0.1083371045
239	0.1082876129
240	0.1081975547
241	0.1080588246
242	0.1079034006
243	0.1077902491
244	0.1077185813
245	0.1076278798
246	0.1075325724
247	0.107438627
248	0.1073773495
249	0.1073034924
250	0.1072069376
251	0.1071106035
252	0.107033716
253	0.106929384
254	0.1068500009
255	0.1067039592
256	0.1066111568
257	0.1064863542
258	0.1064024395
259	0.1062924357
260	0.1062029024
261	0.1061480259
262	0.1060205192
263	0.1059049352
264	0.105819369
265	0.1057656107
266	0.1056855579
267	0.1056040505
268	0.1054651104
269	0.1054013611
270	0.1053396427
271	0.1052756308
272	0.1051863673
273	0.1050987853
274	0.1050638459
275	0.1050072988
276	0.1049290983
277	0.1048312546
278	0.104724464
279	0.1046399185
280	0.10455981
281	0.1044900918
282	0.1044194521
283	0.1043549526
284	0.1042785417
285	0.1042218105
286	0.1041461138
287	0.1040739635
288	0.1039731931
289	0.1039255178
290	0.103853623
291	0.103796857
292	0.1037192315
293	0.1036616039
294	0.1036153375
295	0.103552174
296	0.1033898649
297	0.1032487864
298	0.1031958809
299	0.1031354254
300	0.1030574583
301	0.1029572185
302	0.1028757713
303	0.1028258616
304	0.1027586761
305	0.1027014773
306	0.1026415431
307	0.1025379216
308	0.1024583719
309	0.1023979808
310	0.1023335118
311	0.1022729484
312	0.1022212068
313	0.1021588327
314	0.1021078236
315	0.1020513371
316	0.1019991443
317	0.101932618
318	0.1018621464
319	0.1018092366
320	0.1017411535
321	0.1017041569
322	0.1016100553
323	0.1015544347
324	0.1014986891
325	0.1014454918
326	0.1013924257
327	0.1011601792
328	0.1010939698
329	0.1010154235
330	0.1009597292
331	0.1009027739
332	0.10086847
333	0.1008138479
334	0.1006943689
335	0.1006285106
336	0.1005816472
337	0.1005087205
338	0.1003791388
339	0.1002632662
340	0.1001757929
341	0.1001195261
342	0.1000518346
343	0.1000097196
344	0.09992987646
345	0.09975622014
346	0.09968727149
347	0.09961017108
348	0.09956018661
349	0.09951174956
350	0.09942225683
351	0.09932107358
352	0.09928496204
353	0.09922907064
354	0.09919348958
355	0.0991105511
356	0.0990656423
357	0.09897290092
358	0.09892642902
359	0.09884948608
360	0.09876584137
361	0.0987184617
362	0.09865108116
363	0.0985989605
364	0.0985166802
365	0.09845425425
366	0.09840304149
367	0.09837013993
368	0.09825885094
369	0.0982042034
370	0.09809539859
371	0.0980482486
372	0.09801019683
373	0.09794740828
374	0.09785448332
375	0.09776456797
376	0.09771869451
377	0.09768257119
378	0.09762321361
379	0.09757559954
380	0.09748155681
381	0.0974345614
382	0.09740613429
383	0.09733791582
384	0.09726711483
385	0.09723552882
386	0.09718796322
387	0.09713559715
388	0.09707774378
389	0.09702002355
390	0.0969596424
391	0.09691638788
392	0.0968847923
393	0.09683282182
394	0.09678989735
395	0.09674622417
396	0.09663129841
397	0.09657674928
398	0.0965238582
399	0.09649479505
400	0.09644091088
401	0.09639355871
402	0.0963368127
403	0.09628188391
404	0.09625126024
405	0.09620078885
406	0.09615554539
407	0.0961088976
408	0.09608067964
409	0.09601515096
410	0.09597314216
411	0.09592874965
412	0.09587921656
413	0.09585013523
414	0.09578707608
415	0.09575067604
416	0.09564710766
417	0.09557887012
418	0.09554140683
419	0.09550255338
420	0.09546162598
421	0.0954321172
422	0.0953892947
423	0.09526731943
424	0.09523275732
425	0.09513508615
426	0.09509456261
427	0.0950134241
428	0.09497178988
429	0.09491743579
430	0.09482935424
431	0.09478288619
432	0.09470720166
433	0.09465041232
434	0.09459391432
435	0.0945396467
436	0.09447501116
437	0.09442808721
438	0.09437429529
439	0.09428212255
440	0.09421821858
441	0.09415569258
442	0.09411455355
443	0.09406181209
444	0.0940373777
445	0.0940044639
446	0.09396435577
447	0.09390731223
448	0.09386513756
449	0.09382207217
450	0.09377273098
451	0.09373318606
452	0.09367467427
453	0.09363726326
454	0.09359209596
455	0.09354139031
456	0.09350735792
457	0.09347343054
458	0.09343385358
459	0.09339660333
460	0.09336463566
461	0.09332280093
462	0.09326732793
463	0.09322308876
464	0.09319136205
465	0.09315430775
466	0.09313245585
467	0.09308851078
468	0.09305430737
469	0.09301428445
470	0.09296131301
471	0.09288140981
472	0.09282719536
473	0.09278655219
474	0.09274096144
475	0.09268599166
476	0.09260173115
477	0.09258119725
478	0.09253789115
479	0.0924897946
480	0.09243152228
481	0.09234582294
482	0.09229961506
483	0.09226743471
484	0.09223309993
485	0.092189151
486	0.09215039654
487	0.09207504461
488	0.09203277355
489	0.0919953618
490	0.09196039083
491	0.09192988985
492	0.09185755572
493	0.09181025244
494	0.09177284996
495	0.09173388269
496	0.09170232963
497	0.09165650547
498	0.0916071464
499	0.09157600229
500	0.09153569195
501	0.09145602563
502	0.0914195856
503	0.0913727719
504	0.09134503086
505	0.09132095083
506	0.09126751906
507	0.09123174611
508	0.09118975542
509	0.09118145201
510	0.09114126999
511	0.09106662965
512	0.09102486273
513	0.09098816324
514	0.09094970239
515	0.09090857803
516	0.090841197
517	0.09079865415
518	0.09075683155
519	0.09068633536
520	0.09064976566
521	0.09063158335
522	0.09058069457
523	0.09054154111
524	0.09049870837
525	0.09045625965
526	0.09041329047
527	0.09036771008
528	0.09033167514
529	0.09031866424
530	0.09029103999
531	0.09015342793
532	0.09007513305
533	0.09002969687
534	0.08998696849
535	0.0899522483
536	0.0898914757
537	0.08985015581
538	0.08981784485
539	0.08978437963
540	0.089718796
541	0.08966818516
542	0.08962513844
543	0.08959425014
544	0.08956643156
545	0.08953342214
546	0.08949876726
547	0.08943837019
548	0.08939385693
549	0.08936363913
550	0.08936230028
551	0.08931662101
552	0.08928032038
553	0.08925659038
554	0.08921417004
555	0.08918559856
556	0.08914635133
557	0.08911502305
558	0.08908473227
559	0.08902769932
560	0.08899056032
561	0.08898317944
562	0.0889414977
563	0.08890145141
564	0.0888690099
565	0.08881641472
566	0.08877017091
567	0.08871347804
568	0.08865331303
569	0.08861528303
570	0.08856671856
571	0.08852872493
572	0.08848611275
573	0.0884601343
574	0.08839741489
575	0.08837761512
576	0.08834465759
577	0.08830199993
578	0.08822813536
579	0.08819805427
580	0.0881747758
581	0.08814561595
582	0.08810953374
583	0.08806840834
584	0.08804132934
585	0.08800687509
586	0.08798231466
587	0.08793673063
588	0.08787993759
589	0.08785004516
590	0.08781690366
591	0.08777981083
592	0.08774271674
593	0.08771056383
594	0.08767373
595	0.08763440199
596	0.08757259989
597	0.08754836416
598	0.08751860143
599	0.087490269
600	0.08743988674
601	0.08741589641
602	0.08740919961
603	0.0873622516
604	0.08733350908
605	0.08727230033
606	0.08723567264
607	0.08720111271
608	0.08716536487
609	0.08714176438
610	0.08710289777
611	0.08706270077
612	0.08701866606
613	0.08699834841
614	0.08697641907
615	0.08694133154
616	0.08691624205
617	0.08688097691
618	0.08685006454
619	0.08680696813
620	0.08676177296
621	0.08673909072
622	0.08670367872
623	0.08666881538
624	0.08665242127
625	0.0866243248
626	0.08658111695
627	0.08656465414
628	0.08653858443
629	0.08649514062
630	0.08646204769
631	0.08643029181
632	0.08637438877
633	0.08633708383
634	0.08630313771
635	0.08626499592
636	0.08623135704
637	0.08619599188
638	0.08616397705
639	0.08612923975
640	0.08610275719
641	0.08607399517
642	0.08604612297
643	0.08601606645
644	0.08598188811
645	0.08592979207
646	0.08589800227
647	0.08586736987
648	0.08582182365
649	0.08571104435
650	0.08567450458
651	0.08562904492
652	0.08558965454
653	0.08556764408
654	0.08554235453
655	0.08551241254
656	0.08549088992
657	0.08546451602
658	0.08543612836
659	0.08540023635
660	0.0853748556
661	0.08533319458
662	0.08529959149
663	0.08529361685
664	0.08526946783
665	0.08523815164
666	0.08520118229
667	0.08516058701
668	0.08513107539
669	0.08509273824
670	0.08506103604
671	0.08502304716
672	0.08499175038
673	0.08495504206
674	0.08493558651
675	0.08489433879
676	0.08486563605
677	0.08484184975
678	0.08480412828
679	0.08477171608
680	0.08476612418
681	0.0847321678
682	0.08469700781
683	0.0846746598
684	0.08457325049
685	0.08454855311
686	0.08450960457
687	0.08446854039
688	0.08443703061
689	0.08439849954
690	0.08436693085
691	0.08434200859
692	0.0843134037
693	0.08428303082
694	0.08424950219
695	0.08420997033
696	0.08417942251
697	0.08414348591
698	0.08411336166
699	0.08410817605
700	0.08408018888
701	0.08407946046
702	0.0840550469
703	0.084027035
704	0.08399801782
705	0.08396647324
706	0.08393529795
707	0.08391171105
708	0.08386897262
709	0.08383825116
710	0.08381106324
711	0.08379077768
712	0.08376035137
713	0.08372648958
714	0.08369456677
715	0.08367122863
716	0.08363531071
717	0.08361009638
718	0.08359155753
719	0.08358673124
720	0.08355188242
721	0.08353243316
722	0.08349735839
723	0.08347851271
724	0.08345496114
725	0.08343252892
726	0.0834017956
727	0.08336257678
728	0.08332779053
729	0.08328129931
730	0.08326119694
731	0.08322929109
732	0.08319895617
733	0.08318154824
734	0.08312355124
735	0.08311902766
736	0.0830958591
737	0.08305965803
738	0.08303326791
739	0.08300716933
740	0.08298374631
741	0.08295928923
742	0.08293365064
743	0.08290307102
