iter	Passed	Remaining
405	6807	60258
406	6825	60253
407	6842	60241
408	6860	60231
409	6876	60212
410	6892	60184
411	6908	60163
412	6926	60155
413	6943	60139
414	6958	60114
415	6977	60114
416	6993	60087
417	7010	60071
418	7026	60048
419	7043	60036
420	7060	60019
421	7077	60007
422	7096	60008
423	7111	59976
424	7127	59958
425	7143	59934
426	7161	59924
427	7177	59899
428	7193	59882
429	7209	59852
430	7225	59833
431	7242	59814
432	7257	59784
433	7272	59756
434	7290	59749
435	7305	59720
436	7324	59717
437	7340	59698
438	7357	59681
439	7371	59642
440	7388	59624
441	7404	59604
442	7420	59585
443	7438	59571
444	7454	59550
445	7472	59542
446	7489	59528
447	7505	59509
448	7521	59486
449	7538	59472
450	7555	59454
451	7662	60145
452	7678	60126
453	7695	60104
454	7712	60086
455	7729	60070
456	7744	60044
457	7762	60031
458	7778	60010
459	7795	59992
460	7812	59976
461	7829	59959
462	7845	59931
463	7862	59919
464	7877	59884
465	7892	59855
466	7909	59835
467	7926	59819
468	7943	59807
469	7960	59788
470	7976	59767
471	7992	59739
472	8007	59712
473	8025	59699
474	8042	59685
475	8058	59657
476	8074	59638
477	8089	59606
478	8105	59582
479	8121	59559
480	8138	59541
481	8154	59515
482	8169	59485
483	8185	59464
484	8200	59431
485	8214	59397
486	8231	59379
487	8248	59360
488	8264	59341
489	8281	59320
490	8296	59292
491	8312	59265
492	8326	59234
493	8343	59212
494	8358	59184
495	8374	59161
496	8390	59139
497	8405	59111
498	8423	59101
499	8439	59077
500	8455	59052
501	8471	59031
502	8488	59015
503	8503	58987
504	8520	58965
505	8536	58949
506	8552	58921
507	8568	58901
508	8585	58881
509	8601	58861
510	8625	58890
511	8658	58984
512	8674	58964
513	8690	58940
514	8706	58918
515	8724	58904
516	8739	58877
517	8756	58859
518	8773	58842
519	8789	58819
520	8804	58791
521	8819	58762
522	8835	58738
523	8850	58709
524	8866	58688
525	8881	58659
526	8897	58633
527	8913	58611
528	8929	58589
529	8944	58562
530	8960	58538
531	8976	58513
532	8991	58484
533	9008	58473
534	9023	58441
535	9039	58420
536	9055	58399
537	9072	58383
538	9089	58364
539	9105	58340
540	9121	58318
541	9136	58294
542	9155	58288
543	9172	58272
544	9188	58248
545	9205	58235
546	9221	58214
547	9238	58196
548	9255	58179
549	9272	58165
550	9286	58130
551	9303	58111
552	9320	58097
553	9337	58080
554	9353	58060
555	9369	58034
556	9385	58013
557	9401	57994
558	9417	57970
559	9435	57958
560	9451	57938
561	9465	57905
562	9481	57884
563	9498	57864
564	9515	57848
565	9531	57831
566	9547	57808
567	9562	57779
568	9578	57759
569	9595	57740
570	9611	57717
571	9627	57698
572	9650	57720
573	9685	57811
574	9702	57792
575	9719	57777
576	9735	57753
577	9753	57745
578	9767	57710
579	9783	57690
580	9799	57665
581	9815	57647
582	9832	57631
583	9850	57617
584	9867	57599
585	9883	57580
586	9899	57561
587	9918	57551
588	9934	57532
589	9951	57514
590	9966	57487
591	9981	57463
592	9997	57440
593	10014	57422
594	10031	57405
595	10047	57387
596	10063	57363
597	10080	57347
598	10099	57345
599	10116	57327
600	10132	57302
601	10148	57280
602	10161	57242
603	10176	57218
604	10193	57201
605	10207	57169
606	10224	57154
607	10241	57137
608	10257	57113
609	10272	57086
610	10290	57076
611	10308	57064
612	10324	57046
613	10340	57025
614	10356	57002
615	10372	56983
616	10389	56967
617	10407	56954
618	10424	56936
619	10440	56917
620	10456	56898
621	10472	56875
622	10489	56859
623	10505	56839
624	10521	56814
625	10536	56789
626	10552	56766
627	10568	56748
628	10584	56727
629	10599	56700
630	10615	56676
631	10631	56655
632	10646	56631
633	10661	56605
634	10706	56738
635	10722	56716
636	10740	56704
637	10756	56684
638	10773	56666
639	10789	56645
640	10806	56629
641	10822	56610
642	10839	56593
643	10856	56576
644	10873	56559
645	10888	56532
646	10905	56514
647	10920	56492
648	10933	56454
649	10946	56418
650	10964	56405
651	10980	56383
652	10996	56363
653	11012	56340
654	11027	56315
655	11043	56293
656	11060	56277
657	11075	56253
658	11091	56234
659	11109	56220
660	11134	56245
661	11150	56222
662	11166	56205
663	11180	56173
664	11196	56153
665	11213	56135
666	11229	56114
667	11248	56106
668	11268	56108
669	11284	56087
670	11300	56065
671	11315	56038
672	11332	56022
673	11349	56008
674	11366	55990
675	11380	55960
676	11397	55942
677	11414	55926
678	11430	55906
679	11447	55889
680	11460	55855
681	11475	55830
682	11491	55808
683	11508	55790
684	11522	55761
685	11538	55743
686	11554	55721
687	11571	55703
688	11587	55686
689	11602	55659
690	11618	55636
691	11635	55620
692	11650	55594
693	11666	55577
694	11683	55561
695	11720	55640
696	11742	55646
697	11759	55628
698	11775	55611
699	11789	55579
700	11805	55556
701	11817	55517
702	11834	55501
703	11850	55481
704	11867	55463
705	11883	55444
706	11899	55422
707	11914	55400
708	11930	55379
709	11946	55357
710	11962	55336
711	11979	55319
712	11994	55297
713	12008	55268
714	12025	55249
715	12042	55232
716	12056	55206
717	12072	55185
718	12088	55165
719	12102	55135
720	12117	55109
721	12133	55088
722	12152	55079
723	12167	55054
724	12183	55036
725	12200	55018
726	12213	54987
727	12230	54967
728	12247	54953
729	12262	54929
730	12278	54907
731	12294	54886
732	12310	54867
733	12326	54849
734	12341	54821
735	12354	54788
736	12371	54771
737	12387	54753
738	12403	54732
739	12419	54714
740	12436	54697
741	12452	54676
742	12467	54653
743	12484	54637
744	12499	54611
745	12515	54592
746	12531	54571
747	12546	54548
748	12561	54523
749	12577	54501
750	12592	54476
751	12608	54458
752	12624	54439
753	12641	54422
754	12657	54404
755	12674	54385
756	12691	54369
757	12707	54349
758	12722	54325
759	12767	54428
760	12782	54404
761	12799	54388
762	12814	54364
763	12830	54345
764	12846	54326
765	12863	54307
766	12880	54292
767	12896	54274
768	12912	54254
769	12928	54232
770	12942	54202
771	12958	54182
772	12974	54165
773	12992	54152
774	13008	54133
775	13025	54116
776	13042	54100
777	13058	54081
778	13073	54056
779	13089	54037
780	13105	54017
781	13121	53994
782	13137	53974
783	13157	53970
784	13176	53965
785	13193	53947
786	13209	53927
787	13225	53907
788	13240	53883
789	13256	53864
790	13273	53848
791	13288	53827
792	13305	53809
793	13321	53791
794	13338	53772
795	13355	53756
796	13368	53727
797	13385	53709
798	13402	53695
799	13419	53677
800	13437	53664
801	13455	53654
802	13473	53641
803	13487	53612
804	13503	53595
805	13520	53578
806	13535	53556
807	13554	53546
808	13571	53530
809	13586	53507
810	13602	53486
811	13619	53471
812	13635	53451
813	13653	53439
814	13669	53419
815	13688	53411
816	13704	53392
817	13722	53378
818	13738	53359
819	13756	53348
820	13825	53533
821	13853	53561
822	13869	53541
823	13886	53524
824	13903	53508
825	13920	53492
826	13937	53476
827	13954	53458
828	13971	53440
829	13986	53419
830	14003	53400
831	14021	53388
832	14037	53368
833	14052	53345
834	14068	53325
835	14084	53303
836	14100	53285
837	14115	53263
838	14132	53246
839	14149	53229
840	14164	53204
841	14180	53184
842	14197	53167
843	14215	53156
844	14231	53137
845	14248	53121
846	14262	53093
847	14276	53065
848	14293	53048
849	14309	53030
850	14326	53013
851	14342	52991
852	14356	52965
853	14372	52944
854	14388	52926
855	14404	52905
856	14418	52878
857	14435	52861
858	14450	52839
859	14466	52818
860	14482	52799
861	14498	52780
862	14512	52753
863	14530	52739
864	14545	52718
865	14565	52710
866	14582	52695
867	14599	52680
868	14616	52661
869	14633	52648
870	14650	52629
871	14667	52613
872	14682	52592
873	14697	52568
874	14714	52550
875	14732	52539
876	14748	52521
877	14765	52504
878	14782	52485
879	14827	52571
880	14844	52554
881	14860	52534
882	14876	52513
883	14891	52489
884	14907	52472
885	14921	52445
886	14938	52428
887	14954	52409
888	14971	52390
889	14987	52371
890	15004	52354
891	15020	52337
892	15036	52317
893	15053	52299
894	15069	52280
895	15086	52263
896	15103	52246
897	15118	52224
898	15134	52205
899	15151	52187
900	15166	52166
901	15183	52149
902	15199	52130
903	15215	52110
904	15234	52100
905	15251	52083
906	15267	52065
907	15283	52043
908	15296	52015
909	15312	51996
910	15329	51978
911	15345	51960
912	15362	51943
913	15379	51925
914	15394	51903
915	15411	51887
916	15426	51866
917	15443	51848
918	15460	51830
919	15476	51813
920	15491	51788
921	15508	51772
922	15523	51751
923	15539	51729
924	15557	51718
925	15572	51696
926	15587	51674
927	15604	51655
928	15620	51636
929	15637	51620
930	15653	51602
931	15669	51583
932	15686	51565
933	15703	51549
934	15719	51529
935	15735	51510
936	15750	51488
937	15767	51471
938	15783	51451
939	15800	51437
940	15828	51454
941	15864	51499
942	15878	51474
943	15895	51457
944	15913	51444
945	15931	51433
946	15949	51420
947	15966	51402
948	15984	51388
949	15999	51365
950	16017	51354
951	16034	51338
952	16048	51310
953	16064	51292
954	16081	51276
955	16098	51257
956	16115	51241
957	16131	51224
958	16148	51206
959	16163	51183
960	16179	51163
961	16195	51146
962	16208	51117
963	16224	51097
964	16241	51080
965	16258	51063
966	16281	51067
967	16302	51062
968	16318	51044
969	16334	51023
970	16350	51005
971	16368	50991
972	16381	50963
973	16396	50939
974	16412	50919
975	16428	50900
976	16443	50878
977	16459	50860
978	16476	50844
979	16493	50827
980	16510	50811
981	16527	50794
982	16544	50777
983	16561	50761
984	16578	50744
985	16593	50723
986	16609	50703
987	16625	50685
988	16642	50667
989	16660	50653
990	16677	50639
991	16693	50617
992	16709	50599
993	16725	50578
994	16742	50563
995	16758	50544
996	16773	50522
997	16789	50503
