iter	Logloss
0	0.643577137
1	0.6002550688
2	0.5591104782
3	0.5224929673
4	0.492644343
5	0.4645296615
6	0.4373169951
7	0.4185606916
8	0.3985646304
9	0.3827974829
10	0.3658001267
11	0.3512570664
12	0.3366884758
13	0.324551523
14	0.3133670235
15	0.3012734268
16	0.292113186
17	0.2827791076
18	0.2756294227
19	0.2681907283
20	0.2621656132
21	0.2541282273
22	0.2471253525
23	0.24156914
24	0.2365041883
25	0.2323697554
26	0.2283464658
27	0.2235269224
28	0.2198372687
29	0.2164747286
30	0.2132620017
31	0.2105730799
32	0.2073173544
33	0.2036784123
34	0.2005242043
35	0.1978240431
36	0.1953192393
37	0.1928553657
38	0.1907700283
39	0.1888638913
40	0.1866208214
41	0.1852497517
42	0.183301886
43	0.1816673792
44	0.1798436142
45	0.1781148602
46	0.176376445
47	0.1749264711
48	0.1736124375
49	0.1722439942
50	0.1713390063
51	0.1700447169
52	0.1684693635
53	0.1673999828
54	0.1662422142
55	0.1649370607
56	0.1636825
57	0.1627278277
58	0.1618297679
59	0.1608184523
60	0.1598267787
61	0.1590821384
62	0.1582359832
63	0.1576037879
64	0.1567285129
65	0.1561125925
66	0.1551609853
67	0.1540911107
68	0.1531354044
69	0.1520456475
70	0.1512287801
71	0.1507084338
72	0.1499316548
73	0.1493396911
74	0.1485501317
75	0.1479806303
76	0.1473043453
77	0.1466555802
78	0.1461874843
79	0.1457836107
80	0.1448692012
81	0.1445367623
82	0.1436418193
83	0.1431387907
84	0.1426873071
85	0.1422595866
86	0.141719396
87	0.1413781733
88	0.141007605
89	0.1406174979
90	0.1397639689
91	0.1394566558
92	0.1387314224
93	0.1383440345
94	0.1379128866
95	0.1375480064
96	0.137146152
97	0.1365786133
98	0.1362730279
99	0.1359529271
100	0.1357445489
101	0.1354189524
102	0.1350004609
103	0.1346326459
104	0.1342781643
105	0.1339539852
106	0.1336047635
107	0.1333058161
108	0.1330067313
109	0.1327118789
110	0.1324712757
111	0.1322601979
112	0.1319957155
113	0.1316817392
114	0.1313565268
115	0.1311347885
116	0.1308656941
117	0.1305469819
118	0.1302655399
119	0.13005367
120	0.1297908752
121	0.1296328363
122	0.1294015946
123	0.1291384644
124	0.1289558684
125	0.128786226
126	0.128508272
127	0.1282745026
128	0.1279823878
129	0.1278214856
130	0.1275220663
131	0.1272697495
132	0.1270219669
133	0.1268149783
134	0.1266144864
135	0.1263619865
136	0.1261189302
137	0.1259564218
138	0.1258181753
139	0.1256126677
140	0.1253528829
141	0.1251936242
142	0.1248265225
143	0.1247120916
144	0.1245195257
145	0.1243165972
146	0.1241483134
147	0.1239497834
148	0.1238262451
149	0.1237060768
150	0.1235489722
151	0.123293556
152	0.1231612888
153	0.1229760763
154	0.122851314
155	0.1227365617
156	0.1225771968
157	0.1222466894
158	0.1220823242
159	0.1219921544
160	0.1217909845
161	0.121706382
162	0.1215965722
163	0.1214769017
164	0.1213571427
165	0.1212366075
166	0.1211208512
167	0.1209809402
168	0.1207703534
169	0.1206792616
170	0.1206081237
171	0.1204520635
172	0.1202870962
173	0.1201669537
174	0.120079442
175	0.1199824097
176	0.1198631081
177	0.1197019725
178	0.1194896974
179	0.1193837276
180	0.1191559159
181	0.1190277261
182	0.1189412985
183	0.1188316396
184	0.1186949409
185	0.1186245039
186	0.1185422621
187	0.1184650677
188	0.1183080184
189	0.1181724581
190	0.1179461906
191	0.1177948599
192	0.1177071287
193	0.1176295183
194	0.1174836867
195	0.1173652136
196	0.117278988
197	0.1171373955
198	0.1170419966
199	0.1169603633
200	0.1168807924
201	0.1167557069
202	0.116659105
203	0.1165829603
204	0.1165294546
205	0.1164528747
206	0.1162767759
207	0.1161796585
208	0.116069093
209	0.1159359261
210	0.1158744905
211	0.115714738
212	0.1155484682
213	0.1154527256
214	0.1153080262
215	0.1151750829
216	0.115080874
217	0.1150245121
218	0.1149037816
219	0.1147929745
220	0.1146880273
221	0.1145854824
222	0.1145236506
223	0.1143333131
224	0.1142444061
225	0.1141637039
226	0.1140774861
227	0.1139636344
228	0.1138216541
229	0.1137368592
230	0.1136619017
231	0.1135615823
232	0.113479868
233	0.1134477651
234	0.1133276605
235	0.1132588484
236	0.113162315
237	0.1130315453
238	0.1129652797
239	0.1129094475
240	0.112830716
241	0.1127324389
242	0.1126368234
243	0.1125412928
244	0.112425883
245	0.1123467383
246	0.1122911024
247	0.1121496291
248	0.112105362
