iter	Passed	Remaining
0	20	80097
1	41	83521
2	63	84565
3	83	83915
4	113	90585
5	130	86901
6	146	83628
7	162	81031
8	177	78898
9	191	76447
10	206	75009
11	224	74733
12	242	74399
13	258	73651
14	272	72491
15	289	71961
16	304	71294
17	322	71388
18	343	71927
19	358	71412
20	372	70517
21	388	70209
22	404	69926
23	419	69464
24	437	69593
25	463	70794
26	484	71273
27	503	71425
28	521	71441
29	540	71462
30	556	71285
31	574	71225
32	589	70830
33	604	70478
34	619	70208
35	638	70292
36	657	70428
37	672	70142
38	688	69928
39	704	69752
40	720	69602
41	738	69555
42	750	69099
43	766	68902
44	781	68710
45	820	70509
46	867	72959
47	886	73022
48	899	72541
49	914	72233
50	931	72140
51	948	71997
52	962	71710
53	977	71433
54	992	71216
55	1007	70934
56	1021	70692
57	1037	70503
58	1052	70288
59	1067	70129
60	1085	70090
61	1106	70259
62	1133	70816
63	1150	70778
64	1163	70451
65	1181	70413
66	1194	70134
67	1208	69905
68	1225	69800
69	1242	69776
70	1257	69595
71	1277	69674
72	1295	69715
73	1315	69793
74	1335	69884
75	1350	69715
76	1362	69408
77	1378	69311
78	1394	69199
79	1409	69048
80	1424	68913
81	1440	68803
82	1455	68702
83	1471	68583
84	1484	68384
85	1497	68141
86	1512	68039
87	1528	67934
88	1541	67744
89	1556	67605
90	1572	67544
91	1587	67444
92	1601	67279
93	1614	67076
94	1628	66935
95	1644	66878
96	1661	66872
97	1677	66792
98	1692	66703
99	1707	66601
100	1722	66488
101	1737	66408
102	1753	66358
103	1769	66277
104	1784	66211
105	1799	66118
106	1815	66051
107	1832	66048
108	1847	65948
109	1909	67530
110	1933	67745
111	1961	68105
112	1976	67976
113	1989	67812
114	2002	67654
115	2017	67556
116	2034	67527
117	2048	67381
118	2063	67308
119	2079	67246
120	2096	67206
121	2112	67154
122	2125	67007
123	2142	66983
124	2155	66834
125	2171	66753
126	2186	66668
127	2201	66609
128	2216	66500
129	2231	66425
130	2248	66393
131	2262	66295
132	2281	66329
133	2299	66338
134	2316	66331
135	2330	66219
136	2346	66176
137	2364	66163
138	2378	66080
139	2393	65984
140	2408	65931
141	2423	65854
142	2439	65797
143	2452	65666
144	2466	65563
145	2483	65565
146	2498	65497
147	2513	65423
148	2526	65286
149	2542	65249
150	2555	65140
151	2569	65040
152	2583	64967
153	2599	64928
154	2615	64870
155	2628	64779
156	2645	64750
157	2660	64693
158	2675	64634
159	2690	64561
160	2704	64485
161	2719	64433
162	2736	64405
163	2751	64359
164	2767	64320
165	2782	64269
166	2797	64205
