iter	Passed	Remaining
0	87	351638
1	112	225884
2	140	187106
3	161	161245
4	183	146509
5	208	138568
6	232	132846
7	259	129556
8	284	125980
9	306	122165
10	331	120189
11	353	117438
12	377	115914
13	401	114356
14	424	112649
15	445	110934
16	468	109782
17	491	108834
18	516	108194
19	539	107405
20	561	106303
21	583	105487
22	607	105096
23	632	104701
24	653	103909
25	676	103392
26	699	102879
27	722	102561
28	746	102166
29	768	101677
30	794	101671
31	816	101189
32	835	100488
33	860	100390
34	896	101512
35	921	101516
36	943	101066
37	965	100688
38	989	100478
39	1010	100014
40	1032	99704
41	1054	99358
42	1077	99163
43	1100	98949
44	1126	98969
45	1156	99390
46	1182	99473
47	1205	99253
48	1228	99083
49	1249	98702
50	1272	98562
51	1296	98424
52	1317	98126
53	1340	97938
54	1362	97758
55	1386	97630
56	1410	97575
57	1430	97202
58	1453	97094
59	1483	97400
60	1511	97612
61	1533	97413
62	1562	97623
63	1584	97462
64	1606	97276
65	1629	97149
66	1653	97040
67	1674	96824
68	1696	96664
69	1718	96497
70	1740	96307
71	1758	95942
72	1781	95820
73	1803	95673
74	1827	95664
75	1849	95506
76	1873	95446
77	1894	95242
78	1915	95070
79	1936	94909
80	1955	94633
81	1976	94431
82	1999	94344
83	2021	94262
84	2043	94127
85	2064	93967
86	2088	93930
87	2107	93678
88	2131	93685
89	2152	93511
90	2172	93330
91	2195	93278
92	2218	93213
93	2241	93160
94	2264	93082
95	2287	93018
96	2310	92985
97	2340	93171
98	2371	93460
99	2393	93333
100	2414	93214
101	2438	93194
102	2460	93103
103	2483	93039
104	2507	93004
105	2530	92957
106	2554	92951
107	2576	92867
108	2598	92747
109	2620	92657
110	2641	92549
111	2663	92475
112	2685	92393
113	2709	92360
114	2743	92697
115	2766	92626
116	2790	92611
117	2812	92527
118	2834	92443
119	2856	92354
120	2877	92250
121	2898	92137
122	2920	92070
123	2942	91968
124	2962	91850
125	2984	91764
126	3007	91722
127	3027	91585
128	3048	91482
129	3069	91362
130	3092	91331
131	3114	91272
132	3138	91261
133	3160	91182
134	3183	91144
135	3206	91096
136	3229	91072
137	3249	90948
138	3271	90859
139	3291	90741
140	3313	90698
141	3336	90657
142	3360	90626
143	3381	90558
144	3404	90509
145	3427	90484
146	3450	90435
147	3472	90381
148	3493	90290
149	3513	90185
150	3536	90136
151	3556	90044
152	3578	89965
153	3598	89868
154	3619	89780
155	3639	89690
156	3662	89639
157	3682	89550
158	3706	89536
159	3727	89449
160	3751	89455
161	3774	89434
162	3798	89414
163	3820	89372
164	3840	89256
165	3860	89174
166	3884	89166
167	3906	89097
168	3928	89054
169	3951	89035
170	3975	89014
171	3996	88946
172	4019	88920
173	4042	88883
174	4066	88882
175	4088	88826
176	4111	88805
177	4134	88774
178	4158	88775
179	4179	88707
180	4201	88646
181	4223	88607
182	4247	88588
183	4270	88556
184	4292	88514
185	4312	88438
186	4336	88417
187	4357	88345
188	4381	88346
189	4404	88330
190	4427	88297
191	4448	88227
192	4470	88177
193	4490	88098
194	4512	88042
195	4533	87990
196	4557	87974
197	4579	87926
198	4601	87882
199	4622	87827
200	4645	87805
201	4668	87772
202	4689	87721
203	4712	87693
