iter	Logloss
0	0.6465026035
1	0.6056701782
2	0.5618494852
3	0.524063746
4	0.4916343265
5	0.4676717475
6	0.439087179
7	0.4181576326
8	0.3953566281
9	0.3783231207
10	0.3621169354
11	0.3487627115
12	0.3362474683
13	0.3229355695
14	0.3144426194
15	0.3041117965
16	0.2949372153
17	0.284438909
18	0.2774282091
19	0.270661464
20	0.2633554561
21	0.2561627476
22	0.250719883
23	0.2451462805
24	0.2394834044
25	0.2350068682
26	0.2306118965
27	0.2260788819
28	0.2224547712
29	0.2191490444
30	0.2162580316
31	0.2126115287
32	0.2098614351
33	0.2058267707
34	0.20271215
35	0.1999871577
36	0.1967756399
37	0.1939618068
38	0.1911580209
39	0.1893407845
40	0.1877339413
41	0.1857422287
42	0.1834322034
43	0.1816603199
44	0.1798155836
45	0.1783824137
46	0.1769591012
47	0.1753159095
48	0.1736385343
49	0.1721261682
50	0.1711076539
51	0.1693109218
52	0.1679924937
53	0.1668636457
54	0.1655576238
55	0.16448242
56	0.1631689438
57	0.1618625393
58	0.1609636235
59	0.1600742887
60	0.1587850613
61	0.158181871
62	0.1572028413
63	0.155923025
64	0.1553725707
65	0.15469811
66	0.1541462317
67	0.1531831732
68	0.1520795233
69	0.1513206421
70	0.1505936821
71	0.1497361512
72	0.148880764
73	0.1484529394
74	0.1475119215
75	0.1468395645
76	0.1458501229
77	0.1452935554
78	0.1448488825
79	0.1443514145
80	0.1439108016
81	0.1430292686
82	0.1425309469
83	0.1418501799
84	0.1414835956
85	0.1407176828
86	0.1404052746
87	0.1399680475
88	0.1396239686
89	0.1392366524
90	0.1388076591
91	0.1384590966
92	0.1381572053
93	0.1377155624
94	0.1373526432
95	0.1369490237
96	0.1367383855
97	0.1364121356
98	0.1361099077
99	0.1354492672
100	0.1349873342
101	0.1346013678
102	0.134315646
103	0.1340118215
104	0.1337077297
105	0.1333306193
106	0.1329401091
107	0.1324283915
108	0.1321924068
109	0.1317489294
110	0.1313713888
111	0.1311409439
112	0.1308218134
113	0.1304333468
114	0.1301982843
115	0.1298515374
116	0.1294268898
117	0.1292200895
118	0.1289913732
119	0.1285578527
120	0.1282835504
121	0.1280754578
122	0.1277451158
123	0.1274862516
124	0.1271338299
125	0.1268721636
126	0.1266073385
127	0.1264393494
128	0.1262580902
129	0.1259966315
130	0.125716385
131	0.1252357383
132	0.1249343271
133	0.1247287029
134	0.124568388
135	0.1240990318
136	0.1239201963
137	0.1236498983
138	0.123474188
139	0.1232053851
140	0.1229340674
141	0.122738335
142	0.1225572194
143	0.1222500693
144	0.1220410803
145	0.121866311
146	0.1217293645
147	0.1214741671
148	0.1212591576
149	0.1211066128
150	0.1209201419
151	0.1206838379
152	0.1205054368
153	0.1202761924
154	0.1200114293
155	0.1198254232
156	0.119578288
157	0.1194235289
158	0.1192661546
159	0.1189650593
160	0.1188309821
161	0.1186713218
162	0.1184174146
163	0.1182908329
164	0.1181582785
165	0.1180560666
166	0.1178948374
167	0.1177746596
168	0.117644615
169	0.117436609
170	0.1173329051
171	0.117134466
172	0.1169768014
173	0.116842043
174	0.1166024665
175	0.1164735379
176	0.1163018723
177	0.1161965229
178	0.1160085915
179	0.1157671967
180	0.1156690234
181	0.1155363688
182	0.1153789811
183	0.115192229
184	0.1150665197
185	0.1148586383
186	0.1147192748
187	0.1146357912
188	0.1144750653
189	0.1143949837
190	0.1142954094
191	0.1141414445
192	0.1138857533
193	0.1137795153
194	0.1136632653
195	0.1135495485
196	0.1134424747
197	0.1133047594
198	0.1132185044
199	0.1130858941
200	0.112982782
201	0.1128749372
202	0.1127223153
203	0.1125570651
204	0.1124455811
205	0.1123624462
206	0.1122554378
207	0.1121704425
208	0.1119728513
209	0.1118185672
210	0.1116476102
211	0.1115110599
212	0.1113907836
213	0.1112827921
214	0.1111919012
215	0.1110581694
216	0.1109702635
217	0.1108772707
218	0.1107367543
219	0.1105336218
220	0.1103092743
221	0.1102401933
222	0.1101381891
223	0.1100853602
224	0.1100043644
225	0.109922483
226	0.1097930061
227	0.1097217321
228	0.1096515959
229	0.1095776232
230	0.1094068317
231	0.1092650025
232	0.1091782435
233	0.1089938984
234	0.1088964308
235	0.1088051174
236	0.1087031756
237	0.1085415825
238	0.1084410019
239	0.1083588403
240	0.1083064834
241	0.1082283482
242	0.1081433502
243	0.1080365217
244	0.1079362959
245	0.1078715758
246	0.1077597829
247	0.1076419463
248	0.1075573456
249	0.1075006669
250	0.1074005053
