iter	Passed	Remaining
0	22	91814
1	48	96054
2	69	93229
3	87	87243
4	103	82537
5	117	78476
6	135	77235
7	148	73934
8	165	73313
9	182	72701
10	199	72289
11	214	71289
12	233	71650
13	249	71075
14	265	70664
15	281	70062
16	296	69472
17	312	69230
18	327	68694
19	341	68006
20	356	67595
21	372	67367
22	387	67075
23	402	66728
24	419	66623
25	436	66768
26	451	66476
27	467	66308
28	482	66082
29	497	65774
30	511	65443
31	526	65339
32	541	65078
33	556	64930
34	572	64862
35	587	64737
36	602	64555
37	617	64411
38	634	64460
39	650	64386
40	665	64213
41	679	64062
42	695	63971
43	707	63643
44	724	63661
45	739	63579
46	754	63418
47	771	63505
48	785	63354
49	842	66594
50	864	66958
51	881	66909
52	897	66816
53	913	66775
54	928	66613
55	941	66338
56	955	66099
57	970	65977
58	986	65883
59	1003	65869
60	1019	65810
61	1036	65817
62	1050	65675
63	1065	65554
64	1082	65534
65	1106	65982
66	1127	66213
67	1142	66050
68	1157	65923
69	1173	65895
70	1200	66459
71	1258	68683
72	1282	68985
73	1298	68911
74	1313	68749
75	1328	68603
76	1342	68390
77	1358	68289
78	1372	68116
79	1389	68062
80	1404	67957
81	1418	67789
82	1433	67674
83	1448	67517
84	1464	67461
85	1479	67355
86	1493	67189
87	1509	67122
88	1525	67051
89	1540	66945
90	1553	66745
91	1569	66674
92	1586	66634
93	1600	66499
94	1616	66429
95	1633	66412
96	1647	66306
97	1662	66203
98	1676	66073
99	1693	66052
100	1708	65937
101	1723	65858
102	1738	65772
103	1751	65626
104	1767	65549
105	1781	65444
106	1796	65367
107	1811	65292
108	1828	65262
109	1861	65812
110	1903	66698
111	1929	66970
112	1943	66847
113	1958	66753
114	1974	66702
115	1987	66563
116	2001	66430
117	2016	66344
118	2033	66328
119	2049	66258
120	2063	66159
121	2079	66104
122	2094	66015
123	2110	65966
124	2126	65919
125	2140	65801
126	2154	65710
127	2169	65623
128	2183	65534
129	2200	65495
130	2215	65433
131	2230	65347
132	2244	65250
133	2260	65205
134	2274	65116
135	2289	65044
136	2305	65007
137	2325	65078
138	2341	65050
139	2356	64964
140	2370	64878
141	2385	64825
142	2399	64721
143	2412	64607
144	2428	64575
145	2444	64527
146	2458	64437
147	2472	64344
148	2487	64282
149	2503	64245
150	2518	64205
151	2534	64160
152	2550	64126
153	2565	64074
154	2579	63994
155	2594	63942
156	2609	63872
157	2625	63848
158	2642	63842
159	2657	63789
160	2673	63742
161	2689	63711
162	2704	63671
163	2720	63629
164	2735	63583
165	2752	63568
166	2767	63528
167	2782	63475
168	2797	63417
169	2811	63350
170	2828	63328
171	2843	63285
172	2859	63253
173	2875	63233
174	2898	63342
175	2951	64121
176	2968	64123
177	2983	64065
178	2998	64005
179	3012	63931
180	3028	63904
181	3046	63901
182	3061	63858
183	3075	63779
184	3090	63721
185	3105	63677
186	3120	63627
187	3136	63600
188	3153	63580
189	3170	63568
190	3185	63529
191	3201	63503
192	3216	63445
193	3230	63380
194	3244	63310
195	3260	63285
196	3277	63266
197	3292	63225
198	3308	63190
199	3324	63161
200	3339	63109
201	3355	63098
202	3375	63133
203	3390	63094
204	3406	63058
205	3421	63016
206	3437	62986
207	3455	62988
208	3469	62932
209	3485	62899
210	3499	62848
211	3513	62779
212	3528	62733
213	3544	62707
214	3561	62702
215	3577	62675
216	3593	62653
217	3610	62638
218	3627	62620
219	3640	62554
220	3655	62512
221	3671	62481
222	3687	62464
223	3703	62434
224	3718	62387
225	3734	62358
226	3752	62373
227	3767	62333
228	3782	62294
229	3796	62229
230	3811	62194
231	3827	62158
232	3841	62106
233	3855	62052
234	3871	62028
235	3888	62014
236	3904	61989
237	3920	61963
238	3945	62085
239	3998	62642
240	4025	62788
241	4040	62747
242	4057	62732
243	4072	62692
244	4086	62626
245	4100	62578
246	4118	62579
247	4134	62551
248	4151	62534
249	4167	62505
250	4180	62443
251	4196	62414
252	4212	62384
253	4228	62364
254	4246	62366
255	4262	62343
256	4276	62277
257	4291	62245
258	4305	62194
259	4321	62162
260	4335	62112
261	4353	62106
262	4368	62077
263	4384	62052
264	4399	62002
265	4419	62033
266	4435	62011
267	4450	61977
268	4467	61961
269	4482	61929
270	4500	61921
271	4515	61882
272	4530	61853
273	4546	61822
274	4596	62263
275	4612	62229
276	4628	62205
277	4645	62199
278	4661	62163
279	4677	62145
280	4694	62128
281	4709	62096
282	4724	62050
283	4741	62036
284	4757	62016
285	4774	61999
286	4789	61969
287	4807	61959
288	4823	61936
289	4839	61915
290	4856	61894
291	4872	61873
292	4885	61813
293	4900	61767
294	4916	61743
295	4932	61725
296	4948	61693
297	4965	61680
298	4979	61640
299	5042	62194
300	5064	62233
301	5081	62218
302	5110	62350
303	5125	62321
304	5142	62298
305	5159	62279
306	5173	62234
307	5190	62220
308	5206	62193
309	5222	62163
310	5237	62131
311	5254	62107
312	5270	62085
313	5286	62057
314	5303	62043
315	5318	62010
316	5334	61979
317	5349	61938
318	5365	61913
319	5381	61892
320	5398	61866
321	5414	61851
322	5430	61825
323	5448	61817
324	5467	61828
325	5482	61790
326	5499	61770
327	5515	61749
328	5531	61725
329	5547	61689
330	5562	61663
331	5578	61636
332	5594	61601
333	5611	61587
334	5625	61545
335	5642	61524
336	5656	61487
337	5670	61439
338	5686	61405
339	5702	61383
340	5718	61361
341	5735	61341
342	5750	61308
343	5765	61276
344	5781	61245
345	5797	61227
346	5813	61202
347	5828	61166
348	5844	61137
349	5859	61102
350	5874	61068
351	5891	61057
352	5908	61045
353	5925	61025
354	5941	61003
355	5957	60978
356	5973	60955
357	5990	60938
358	6006	60920
359	6021	60888
360	6075	61240
361	6129	61599
362	6152	61641
363	6167	61604
364	6183	61585
365	6200	61564
366	6216	61535
367	6231	61500
368	6247	61472
369	6263	61445
370	6277	61408
371	6293	61376
372	6307	61337
373	6323	61304
374	6339	61278
375	6355	61251
376	6368	61204
377	6385	61182
378	6401	61157
379	6417	61134
380	6433	61110
381	6449	61082
382	6464	61050
383	6481	61029
384	6497	61007
385	6511	60968
386	6528	60946
387	6555	61031
388	6571	61001
389	6588	60982
390	6604	60957
391	6619	60924
392	6634	60887
393	6649	60855
394	6664	60825
395	6679	60790
396	6694	60758
397	6710	60727
398	6725	60697
399	6739	60657
400	6755	60630
401	6770	60597
402	6787	60584
403	6803	60553
404	6819	60535
405	6835	60505
406	6851	60482
407	6866	60452
408	6882	60424
409	6898	60401
410	6913	60374
411	6930	60358
412	6946	60331
413	6962	60307
414	6982	60317
415	7001	60323
416	7023	60345
417	7045	60374
418	7062	60358
419	7078	60339
420	7095	60321
421	7109	60276
422	7169	60627
423	7191	60653
424	7207	60631
425	7225	60615
426	7239	60579
427	7256	60560
428	7271	60531
429	7288	60508
