iter	Passed	Remaining
0	26	104591
1	53	106752
2	76	101829
3	96	96089
4	114	91869
5	134	89763
6	153	87377
7	170	84841
8	187	83222
9	207	82701
10	225	81795
11	243	80760
12	261	80107
13	277	79130
14	296	78801
15	313	78035
16	331	77741
17	350	77455
18	369	77415
19	389	77477
20	407	77243
21	426	77045
22	447	77318
23	465	77158
24	482	76745
25	501	76724
26	520	76586
27	538	76383
28	557	76372
29	575	76102
30	591	75778
31	609	75617
32	627	75446
33	647	75579
34	666	75539
35	685	75441
36	704	75407
37	722	75377
38	741	75266
39	756	74927
40	775	74907
41	792	74681
42	808	74408
43	827	74402
44	845	74295
45	864	74273
46	880	74017
47	899	74019
48	917	74006
49	937	74053
50	954	73916
51	992	75328
52	1013	75496
53	1031	75390
54	1052	75461
55	1068	75279
56	1085	75107
57	1102	74958
58	1120	74864
59	1138	74735
60	1155	74639
61	1176	74737
62	1194	74633
63	1218	74944
64	1236	74830
65	1252	74674
66	1269	74537
67	1288	74476
68	1307	74466
69	1326	74446
70	1345	74436
71	1362	74324
72	1381	74300
73	1401	74338
74	1418	74239
75	1436	74171
76	1453	74040
77	1471	74001
78	1490	73967
79	1509	73977
80	1526	73843
81	1543	73755
82	1567	73974
83	1584	73887
84	1602	73813
85	1619	73702
86	1636	73609
87	1655	73588
88	1673	73545
89	1691	73486
90	1711	73516
91	1728	73436
92	1745	73310
93	1762	73227
94	1781	73212
95	1799	73163
96	1823	73357
97	1842	73342
98	1858	73244
99	1878	73270
100	1896	73204
101	1914	73174
102	1932	73103
103	1949	73030
104	1968	73008
105	2003	73585
106	2020	73518
107	2038	73473
108	2058	73498
109	2076	73424
110	2095	73411
111	2114	73409
112	2133	73372
113	2151	73345
114	2169	73285
115	2187	73235
116	2204	73161
117	2227	73265
118	2246	73278
119	2264	73230
120	2284	73230
121	2302	73178
122	2322	73205
123	2340	73165
124	2364	73289
125	2381	73228
126	2403	73292
127	2421	73253
128	2440	73226
129	2458	73176
130	2475	73121
131	2493	73054
132	2511	73036
133	2533	73099
134	2553	73099
135	2572	73097
136	2590	73052
137	2610	73045
138	2627	72981
139	2646	72978
140	2665	72948
141	2684	72937
142	2703	72910
143	2721	72865
144	2741	72889
145	2760	72881
146	2778	72832
147	2797	72812
148	2815	72771
149	2834	72752
150	2854	72756
151	2873	72755
152	2892	72738
153	2912	72740
154	2930	72688
155	2948	72656
156	2968	72650
157	2987	72640
158	3020	72977
159	3050	73204
160	3125	74535
161	3153	74704
162	3178	74819
163	3198	74815
164	3218	74807
165	3234	74712
166	3252	74661
167	3270	74594
168	3288	74543
169	3307	74514
170	3327	74503
171	3350	74568
172	3370	74562
173	3388	74505
174	3405	74431
175	3423	74388
176	3442	74359
177	3461	74322
178	3478	74261
179	3498	74242
180	3516	74200
181	3534	74144
182	3551	74080
183	3571	74059
184	3590	74034
185	3606	73955
186	3624	73897
187	3641	73845
188	3660	73818
189	3680	73804
190	3699	73778
191	3718	73743
192	3736	73705
193	3755	73671
194	3774	73646
195	3793	73624
196	3812	73607
197	3831	73577
198	3850	73545
199	3869	73520
200	3888	73492
201	3906	73446
202	3925	73421
203	3944	73397
204	3961	73342
205	3981	73324
