iter	Logloss
0	0.6475433436
1	0.5999909105
2	0.5598707623
3	0.5271088685
4	0.4961658755
5	0.4644333487
6	0.4386974359
7	0.4181965663
8	0.3992749945
9	0.3807810422
10	0.3664453337
11	0.3529384431
12	0.3388797266
13	0.3298382226
14	0.3163637791
15	0.3057512573
16	0.2949466295
17	0.2851469511
18	0.2774876319
19	0.2692158586
20	0.2620944228
21	0.2564242986
22	0.2512590692
23	0.2449278849
24	0.2403854026
25	0.2357371454
26	0.2303558524
27	0.2262606409
28	0.2222247623
29	0.2183790515
30	0.2149197263
31	0.211443997
32	0.2090417931
33	0.2058323375
34	0.2036100818
35	0.2008941315
36	0.1980897066
37	0.195544328
38	0.1937370862
39	0.1914315281
40	0.1889960222
41	0.1875127057
42	0.1858995102
43	0.1843248398
44	0.1824529059
45	0.1808542444
46	0.1795065298
47	0.1777880594
48	0.1762974356
49	0.1750219356
50	0.1737357993
51	0.1721146836
52	0.1708485921
53	0.1694228222
54	0.1682495555
55	0.1671986674
56	0.1658845084
57	0.1650520328
58	0.1641715023
59	0.1631162845
60	0.1615576625
61	0.1607207139
62	0.1596325581
63	0.1584820946
64	0.1574628584
65	0.1566994553
66	0.1555951865
67	0.1549209955
68	0.1540284263
69	0.1534264999
70	0.1527960292
71	0.1519995755
72	0.1511390592
73	0.1506584008
74	0.1501622294
75	0.1494963753
76	0.1488200325
77	0.1483689229
78	0.1479037908
79	0.1471451374
80	0.1461636962
81	0.1457450305
82	0.1449306285
83	0.1444776572
84	0.1435796994
85	0.1430309765
86	0.1423255851
87	0.1418608188
88	0.1411413175
89	0.1407529038
90	0.1404657865
91	0.1400376837
92	0.1395815917
93	0.1388400794
94	0.1385102769
95	0.1379222692
96	0.1375869759
97	0.1370857735
98	0.1367153604
99	0.1361658768
100	0.1357128291
101	0.1353137564
102	0.1348291551
103	0.1343782875
104	0.1339969089
105	0.1334775613
106	0.1330324827
107	0.1325781597
108	0.1323363745
109	0.1317319248
110	0.13148939
111	0.1312180469
112	0.1307780291
113	0.1305169227
114	0.1301139167
115	0.1295610921
116	0.1293242803
117	0.1290790497
118	0.1288270353
119	0.1284211466
120	0.1281652967
121	0.1275898836
122	0.1274264422
123	0.1271177447
124	0.126916477
125	0.1264542662
126	0.1261676763
127	0.1258003261
128	0.1254447897
129	0.1252462498
130	0.1248733639
131	0.1245119593
132	0.1241865737
133	0.1239991679
134	0.1238511431
135	0.1236129736
136	0.1233405659
137	0.123144224
138	0.1229483628
139	0.1226388303
140	0.1224184961
141	0.1222829976
142	0.1221093274
143	0.1219012309
144	0.1217401175
145	0.1215715765
146	0.1214146027
147	0.1212086369
148	0.1209340971
149	0.1207207554
150	0.1205644016
151	0.1203201317
152	0.1201135226
153	0.1199331222
154	0.1197986933
155	0.1196678527
156	0.1195448427
157	0.1193598426
158	0.1190516239
159	0.1189111468
160	0.1187617133
161	0.1186146047
162	0.118302153
163	0.1181391741
164	0.1179952847
165	0.1178653741
166	0.1176800082
167	0.1175505148
168	0.1172639479
169	0.1171219041
170	0.1169581619
171	0.1167785343
172	0.1166036425
173	0.1163256555
174	0.1162005841
175	0.1160565556
176	0.1158433086
177	0.1156857641
178	0.1155528478
179	0.1154546808
180	0.1152414672
181	0.1151243433
182	0.1149500161
183	0.1148133207
184	0.1146823859
185	0.1145012276
186	0.1142486763
187	0.1141589643
188	0.1140576287
189	0.1139615449
190	0.1138059866
191	0.1136929603
192	0.1134705003
193	0.1133805993
194	0.1133092155
195	0.1131324755
196	0.1129826972
197	0.1127752817
198	0.1126269181
199	0.1124839434
200	0.1123006224
201	0.1122187891
202	0.1121066605
203	0.1119740362
204	0.111849502
205	0.11175047
206	0.1116289761
207	0.1115311764
208	0.1114641047
209	0.1113555688
210	0.1112159662
211	0.111034261
212	0.1109232911
213	0.1108211216
214	0.1107043137
215	0.110615068
216	0.1105250366
217	0.110433608
218	0.1102972758
219	0.1102152804
220	0.1101267886
221	0.1100091238
222	0.1099276395
223	0.1097936301
224	0.1096095215
225	0.1095417487
226	0.109436781
227	0.1093450051
228	0.10924627
229	0.1091684382
230	0.1090735468
231	0.1088802781
232	0.1088001016
233	0.1086250877
234	0.1085424415
235	0.1084685693
236	0.108422024
237	0.1083200414
238	0.1082249112
239	0.1081324126
240	0.1079832151
241	0.1078742252
242	0.1077945141
243	0.1077293338
244	0.1076559405
245	0.1075787275
246	0.1074824836
247	0.1073027662
248	0.1072140382
249	0.107135102
250	0.1070595407
251	0.1069673068
252	0.1068933986
253	0.1068166095
254	0.1067215431
255	0.1066287317
256	0.1065344118
257	0.1064623379
258	0.1063711391
259	0.1063015391
260	0.1061862102
261	0.1060875275
262	0.1060219108
263	0.1059302153
264	0.105872454
265	0.1057962358
266	0.1056320856
267	0.1055495403
268	0.1054128313
269	0.1053132893
270	0.1051895002
271	0.1051001028
272	0.104975215
273	0.104905447
274	0.1048432146
275	0.1047454736
276	0.1046612466
277	0.1045446693
278	0.1044562519
279	0.1043756967
280	0.1043163553
281	0.1042428643
282	0.1042002982
283	0.1040929522
284	0.1039812952
285	0.1039137515
286	0.1038341987
287	0.1037759579
288	0.1036939225
289	0.103607464
290	0.1035063348
291	0.1034122931
292	0.1033108127
293	0.1032361141
294	0.1031510011
295	0.1030269492
296	0.1029660857
297	0.1028569035
298	0.1026858742
299	0.1026132203
300	0.1025733992
301	0.1025186995
302	0.1024771704
303	0.1023216484
304	0.1022439937
305	0.1021408327
306	0.102072041
307	0.1020168507
308	0.1019477856
