iter	Passed	Remaining
0	22	90984
1	40	80608
2	56	75616
3	72	72833
4	88	70972
5	105	69958
6	121	69567
7	138	69140
8	154	68343
9	168	67349
10	183	66510
11	198	65878
12	212	65138
13	230	65600
14	245	65291
15	266	66362
16	285	66961
17	299	66206
18	314	65987
19	329	65616
20	344	65285
21	359	65003
22	374	64776
23	390	64647
24	404	64380
25	419	64167
26	435	64044
27	451	64029
28	465	63809
29	480	63634
30	495	63404
31	510	63331
32	525	63130
33	539	62942
34	554	62823
35	568	62637
36	585	62666
37	600	62648
38	614	62365
39	628	62203
40	643	62177
41	660	62242
42	676	62207
43	691	62193
44	704	61946
45	719	61856
46	733	61727
47	749	61734
48	764	61622
49	778	61485
50	854	66151
51	903	68610
52	930	69324
53	949	69375
54	963	69119
55	979	68966
56	994	68766
57	1007	68499
58	1021	68216
59	1034	67942
60	1048	67736
61	1064	67585
62	1078	67377
63	1090	67095
64	1105	66904
65	1121	66832
66	1135	66642
67	1194	69098
68	1220	69510
69	1235	69349
70	1249	69154
71	1263	68918
72	1278	68793
73	1292	68588
74	1307	68419
75	1324	68388
76	1341	68358
77	1358	68320
78	1372	68105
79	1384	67861
80	1399	67701
81	1412	67510
82	1426	67314
83	1442	67258
84	1456	67089
85	1472	66995
86	1486	66840
87	1500	66684
88	1514	66544
89	1529	66429
90	1542	66257
91	1557	66144
92	1572	66066
93	1588	66021
94	1604	65942
95	1616	65744
96	1631	65629
97	1647	65580
98	1661	65482
99	1675	65349
100	1689	65233
101	1705	65187
102	1719	65048
103	1734	64963
104	1749	64893
105	1763	64792
106	1779	64728
107	1795	64692
108	1808	64573
109	1822	64458
110	1838	64403
111	1852	64305
112	1865	64185
113	1880	64099
114	1949	65856
115	1968	65901
116	1997	66299
117	2014	66274
118	2029	66172
119	2042	66048
120	2057	65961
121	2071	65862
122	2087	65789
123	2100	65657
124	2115	65581
125	2129	65473
126	2143	65378
127	2157	65249
128	2172	65198
129	2189	65178
130	2203	65086
131	2217	64967
132	2230	64855
133	2244	64769
134	2260	64705
135	2274	64628
136	2289	64559
137	2303	64468
138	2319	64426
139	2333	64335
140	2346	64218
141	2361	64161
142	2377	64121
143	2392	64068
144	2411	64109
145	2427	64079
146	2441	63992
147	2456	63946
148	2471	63880
149	2484	63779
150	2497	63673
151	2513	63620
152	2528	63574
153	2543	63523
154	2556	63414
155	2571	63361
156	2586	63320
157	2600	63241
158	2614	63154
159	2627	63068
160	2643	63028
161	2656	62929
162	2672	62902
163	2687	62860
164	2700	62777
165	2714	62704
166	2728	62634
167	2742	62558
168	2755	62471
169	2769	62403
170	2786	62386
171	2801	62342
172	2815	62290
173	2830	62243
174	2846	62222
175	2860	62140
176	2874	62084
177	2889	62051
178	2906	62040
179	2920	61969
180	2933	61893
181	2946	61821
182	2974	62051
183	3042	63106
184	3063	63175
185	3088	63331
186	3102	63269
187	3119	63246
188	3134	63198
189	3149	63165
190	3164	63109
191	3179	63058
192	3193	62986
193	3206	62897
194	3221	62851
195	3234	62779
196	3251	62769
197	3267	62735
198	3283	62709
199	3298	62663
200	3312	62614
201	3327	62558
202	3342	62517
203	3356	62457
204	3371	62409
205	3387	62392
206	3402	62342
207	3417	62305
208	3432	62264
209	3447	62218
210	3462	62182
211	3481	62204
212	3496	62159
213	3511	62118
214	3527	62096
215	3543	62082
216	3559	62045
217	3572	61972
218	3587	61929
219	3601	61874
220	3614	61805
221	3630	61791
222	3647	61784
223	3663	61757
224	3679	61726
225	3693	61672
226	3708	61646
227	3723	61596
228	3739	61581
229	3754	61538
230	3767	61470
231	3781	61423
232	3794	61350
233	3810	61321
234	3825	61286
235	3838	61225
236	3853	61182
237	3868	61149
238	3884	61123
239	3900	61105
240	3915	61066
241	3930	61034
242	3944	60992
243	3960	60969
244	3975	60934
245	3991	60912
246	4006	60880
247	4021	60836
248	4054	61081
249	4155	62330
250	4194	62644
251	4226	62866
252	4254	63006
253	4269	62969
254	4285	62943
255	4300	62896
256	4316	62862
257	4331	62818
258	4346	62773
259	4361	62735
260	4374	62670
261	4389	62621
262	4403	62574
263	4419	62538
264	4433	62493
265	4448	62450
266	4463	62405
267	4478	62361
268	4494	62334
269	4508	62288
270	4523	62247
271	4540	62229
272	4559	62247
273	4576	62235
274	4591	62194
275	4606	62148
276	4619	62090
277	4634	62051
278	4649	62013
279	4664	61967
280	4680	61946
281	4695	61911
282	4712	61892
283	4726	61838
284	4740	61788
285	4756	61770
286	4771	61727
287	4787	61701
288	4802	61665
289	4817	61636
290	4832	61594
291	4847	61551
292	4862	61525
293	4879	61506
294	4893	61456
295	4907	61407
296	4921	61357
297	4938	61350
298	4955	61339
299	4973	61336
300	4988	61301
301	5002	61261
302	5018	61228
303	5032	61185
304	5048	61161
305	5064	61132
306	5079	61106
307	5094	61063
308	5176	61835
309	5223	62178
310	5253	62311
311	5269	62284
312	5282	62223
313	5299	62212
314	5314	62170
315	5330	62144
316	5345	62109
317	5362	62092
318	5380	62085
319	5396	62062
320	5412	62035
321	5429	62015
322	5444	61974
323	5461	61967
324	5478	61951
325	5493	61911
326	5509	61889
327	5524	61847
328	5540	61816
329	5560	61834
330	5579	61850
331	5594	61812
332	5607	61744
333	5620	61688
334	5635	61658
335	5655	61676
336	5671	61648
337	5686	61610
338	5702	61587
339	5715	61531
340	5732	61508
341	5745	61456
342	5760	61419
343	5778	61408
344	5792	61369
345	5807	61331
346	5822	61294
347	5836	61253
348	5851	61218
349	5866	61180
350	5880	61138
351	5909	61242
352	5925	61215
353	5939	61171
354	5955	61144
355	5969	61100
356	5985	61083
357	6001	61051
358	6016	61021
359	6032	60994
360	6047	60956
361	6063	60937
362	6079	60914
363	6094	60873
364	6109	60843
365	6124	60807
366	6138	60764
367	6153	60732
368	6169	60708
369	6183	60666
370	6198	60633
371	6236	60820
372	6293	61199
373	6326	61333
374	6340	61286
375	6355	61255
376	6371	61232
377	6384	61176
378	6399	61140
379	6414	61106
380	6429	61073
381	6445	61042
382	6462	61026
383	6476	60983
384	6491	60951
385	6505	60910
386	6520	60872
387	6536	60847
388	6550	60808
389	6566	60783
390	6581	60745
391	6596	60717
392	6613	60697
393	6629	60670
394	6643	60628
395	6657	60592
396	6672	60557
397	6686	60514
398	6700	60476
399	6717	60460
400	6735	60450
401	6751	60426
402	6767	60402
