iter	Passed	Remaining
0	20	83168
1	38	76506
2	53	70991
3	69	69078
4	84	67844
5	101	67769
6	187	107181
7	249	124736
8	265	117666
9	279	111568
10	293	106563
11	307	102310
12	323	99081
13	337	96138
14	351	93328
15	365	91053
16	379	88912
17	393	86988
18	407	85448
19	422	84044
20	436	82744
21	451	81706
22	467	80804
23	482	79976
24	496	78983
25	510	78070
26	525	77398
27	538	76390
28	551	75519
29	565	74869
30	580	74263
31	593	73632
32	607	72976
33	621	72490
34	640	72531
35	653	71997
36	669	71753
37	685	71430
38	700	71193
39	714	70749
40	729	70452
41	743	70049
42	756	69612
43	770	69301
44	783	68893
45	798	68649
46	811	68259
47	826	68049
48	841	67858
49	856	67642
50	870	67390
51	886	67282
52	900	67065
53	914	66795
54	928	66565
55	942	66389
56	956	66147
57	970	65961
58	983	65709
59	997	65521
60	1011	65345
61	1025	65134
62	1038	64927
63	1054	64832
64	1068	64685
65	1081	64479
66	1096	64355
67	1111	64264
68	1126	64195
69	1140	64057
70	1162	64346
71	1182	64499
72	1268	68245
73	1289	68429
74	1307	68410
75	1321	68246
76	1335	68062
77	1350	67924
78	1364	67726
79	1377	67497
80	1390	67280
81	1405	67151
82	1420	67019
83	1433	66825
84	1448	66714
85	1463	66613
86	1477	66451
87	1491	66303
88	1505	66155
89	1519	66033
90	1533	65893
91	1547	65741
92	1562	65645
93	1578	65592
94	1591	65438
95	1607	65356
96	1620	65220
97	1633	65035
98	1646	64862
99	1660	64774
100	1674	64657
101	1689	64582
102	1703	64470
103	1723	64546
104	1739	64530
105	1756	64525
106	1771	64467
107	1784	64302
108	1799	64228
109	1813	64129
110	1827	64042
111	1843	64000
112	1857	63891
113	1870	63777
114	1885	63680
115	1900	63624
116	1915	63586
117	1930	63503
118	1944	63421
119	1958	63335
120	1972	63229
121	1986	63144
122	2001	63088
123	2017	63066
124	2032	62998
125	2046	62936
126	2059	62816
127	2075	62796
128	2090	62730
129	2104	62655
130	2120	62641
131	2133	62519
132	2147	62449
133	2162	62386
134	2177	62347
135	2192	62306
136	2206	62229
137	2222	62206
138	2237	62158
139	2251	62066
140	2283	62491
141	2390	64946
142	2411	65042
143	2437	65266
144	2451	65181
145	2466	65100
146	2509	65764
147	2525	65739
148	2539	65646
149	2555	65597
150	2570	65511
151	2584	65439
152	2598	65343
153	2615	65320
154	2629	65219
155	2643	65148
156	2658	65062
157	2673	65012
158	2687	64930
159	2702	64868
160	2717	64807
161	2733	64767
162	2748	64701
163	2763	64637
164	2778	64569
165	2793	64521
166	2807	64446
167	2824	64434
168	2840	64396
169	2856	64344
170	2870	64272
171	2885	64211
172	2899	64132
173	2914	64093
174	2929	64032
175	2943	63960
176	2959	63923
177	2975	63881
178	2990	63829
179	3005	63778
180	3020	63726
181	3034	63647
182	3049	63606
183	3065	63583
184	3081	63550
185	3096	63497
186	3112	63459
187	3128	63445
188	3142	63365
189	3155	63284
190	3171	63253
191	3184	63167
192	3202	63166
193	3217	63119
194	3232	63077
195	3246	63006
196	3260	62939
197	3274	62874
198	3289	62824
199	3304	62781
200	3319	62744
201	3333	62675
202	3348	62635
203	3364	62606
204	3381	62593
205	3466	63837
206	3484	63856
207	3512	64042
208	3528	64000
209	3543	63954
210	3560	63935
211	3573	63856
212	3589	63814
213	3605	63781
214	3620	63739
215	3635	63687
216	3650	63636
217	3666	63607
218	3679	63532
219	3693	63467
220	3709	63433
221	3723	63359
222	3735	63270
223	3751	63242
224	3765	63170
225	3779	63119
226	3795	63088
227	3811	63055
228	3825	62988
229	3839	62940
230	3855	62901
231	3870	62864
232	3884	62805
233	3902	62799
234	3920	62814
235	3935	62774
236	3951	62741
237	3966	62691
238	3979	62622
239	3994	62578
240	4008	62520
241	4024	62500
242	4041	62492
243	4062	62533
244	4076	62476
245	4091	62443
246	4108	62419
247	4122	62364
248	4138	62336
249	4154	62317
250	4169	62281
251	4183	62219
252	4198	62182
253	4214	62150
254	4229	62120
255	4244	62074
256	4259	62031
257	4273	61978
258	4286	61910
259	4300	61866
260	4315	61828
261	4332	61809
262	4347	61779
263	4362	61731
264	4374	61659
265	4388	61606
266	4404	61582
267	4419	61549
268	4459	61853
269	4548	62833
270	4612	63473
271	4629	63456
272	4651	63505
273	4670	63508
274	4690	63536
275	4708	63535
276	4728	63553
277	4747	63562
278	4766	63575
279	4786	63591
280	4807	63626
281	4829	63670
282	4849	63699
283	4870	63722
284	4890	63754
285	4908	63746
286	4928	63766
287	4947	63768
288	4964	63754
289	4981	63728
290	5000	63740
291	5017	63714
292	5034	63696
293	5051	63677
294	5066	63628
295	5082	63593
296	5097	63554
297	5112	63508
298	5127	63463
299	5142	63427
300	5156	63371
301	5170	63315
302	5185	63273
303	5201	63235
304	5216	63191
305	5231	63157
306	5250	63157
307	5267	63144
308	5284	63122
309	5301	63099
310	5320	63105
311	5339	63110
312	5358	63123
313	5375	63105
314	5396	63125
315	5413	63115
316	5431	63100
317	5447	63076
318	5462	63034
319	5476	62985
320	5492	62952
321	5509	62927
322	5525	62900
323	5546	62926
324	5631	63680
325	5654	63723
326	5684	63850
327	5704	63856
328	5722	63851
329	5740	63836
330	5759	63846
331	5775	63812
332	5793	63803
333	5809	63766
334	5826	63748
335	5845	63744
336	5863	63729
337	5881	63717
338	5900	63722
339	5919	63718
340	5938	63721
341	5953	63673
342	5972	63674
343	5989	63656
344	6007	63645
345	6025	63630
346	6043	63621
347	6061	63615
348	6083	63642
349	6102	63636
350	6120	63629
351	6139	63622
352	6159	63634
353	6177	63627
354	6196	63623
355	6214	63606
356	6230	63574
357	6245	63539
358	6266	63552
359	6284	63541
360	6304	63552
361	6322	63544
362	6342	63546
363	6361	63540
364	6378	63522
365	6394	63495
366	6411	63468
367	6425	63415
368	6441	63383
369	6456	63339
370	6478	63374
371	6499	63388
372	6514	63343
373	6531	63326
374	6548	63302
375	6564	63272
376	6583	63269
377	6601	63257
378	6616	63218
379	6729	64111
380	6750	64125
381	6770	64124
382	6797	64192
383	6844	64450
384	6860	64413
385	6875	64373
386	6889	64319
387	6906	64293
388	6921	64254
389	6939	64236
390	6955	64203
391	6971	64164
392	6985	64111
393	7002	64090
394	7019	64063
395	7036	64042
396	7055	64029
397	7074	64023
398	7090	63989
399	7107	63963
400	7124	63946
401	7141	63919
402	7161	63917
403	7180	63916
404	7201	63922
405	7220	63915
406	7237	63893
407	7253	63861
408	7268	63817
409	7283	63771
410	7297	63724
411	7313	63690
412	7330	63664
413	7346	63631
414	7361	63589
415	7375	63539
416	7391	63506
417	7405	63460
418	7421	63429
419	7436	63386
420	7450	63334
421	7474	63375
422	7494	63372
423	7508	63330
424	7526	63308
425	7542	63282
426	7557	63236
427	7574	63213
428	7588	63162
429	7602	63120
430	7619	63098
431	7633	63045
432	7648	63004
433	7664	62974
434	7678	62929
435	7692	62883
436	7707	62840
437	7724	62818
438	7741	62795
439	7828	63339
440	7852	63368
441	7881	63445
442	7901	63441
443	7917	63414
444	7933	63380
445	7950	63350
446	7964	63307
447	7979	63264
448	7995	63230
449	8009	63185
450	8025	63155
451	8041	63125
452	8056	63080
453	8071	63042
454	8087	63007
455	8101	62965
456	8118	62938
457	8132	62892
458	8147	62853
459	8162	62818
460	8177	62773
461	8191	62733
462	8205	62687
463	8222	62661
464	8237	62625
465	8253	62595
466	8271	62575
467	8286	62536
468	8299	62488
469	8314	62444
470	8328	62399
471	8342	62360
472	8356	62310
473	8370	62263
474	8386	62234
475	8400	62191
476	8414	62146
477	8427	62093
478	8440	62040
479	8454	61998
480	8469	61964
481	8484	61928
482	8499	61888
483	8514	61851
484	8529	61817
485	8545	61790
486	8561	61755
487	8576	61721
488	8595	61717
489	8612	61694
490	8627	61656
491	8643	61628
492	8658	61593
493	8678	61593
494	8693	61559
495	8708	61521
496	8723	61488
497	8740	61463
498	8756	61432
499	8771	61401
500	8785	61357
501	8799	61315
502	8813	61275
503	8852	61403
504	8927	61786
505	8978	61996
506	8991	61946
507	9004	61897
508	9019	61858
509	9033	61816
510	9048	61781
511	9064	61748
512	9079	61712
513	9093	61671
514	9107	61628
515	9121	61584
516	9136	61554
517	9150	61509
518	9164	61465
519	9180	61435
520	9196	61407
521	9212	61378
522	9225	61332
523	9238	61282
524	9250	61232
525	9264	61189
526	9279	61150
527	9295	61123
528	9313	61111
529	9333	61107
530	9344	61046
531	9360	61021
532	9375	60987
533	9391	60953
534	9406	60920
535	9418	60871
536	9433	60837
537	9448	60799
538	9464	60775
539	9478	60735
540	9494	60705
541	9509	60671
542	9524	60635
543	9541	60618
544	9554	60571
545	9571	60546
546	9587	60524
547	9602	60488
548	9617	60453
549	9633	60428
550	9648	60396
551	9664	60365
552	9678	60331
553	9695	60305
554	9709	60271
555	9722	60224
556	9736	60185
557	9751	60148
558	9766	60116
559	9781	60089
560	9797	60059
561	9810	60017
562	9824	59978
563	9840	59947
564	9854	59909
565	9869	59882
566	9884	59847
567	9899	59812
568	10017	60404
569	10042	60432
570	10063	60434
571	10087	60455
572	10102	60422
573	10119	60401
574	10132	60356
575	10147	60322
576	10160	60275
577	10175	60241
578	10188	60199
579	10203	60166
580	10219	60136
581	10232	60096
582	10248	60064
583	10261	60021
584	10276	59992
585	10293	59968
586	10308	59936
587	10322	59901
588	10338	59873
589	10355	59853
590	10372	59828
591	10384	59782
592	10398	59741
593	10414	59716
594	10429	59683
595	10446	59663
596	10460	59627
597	10478	59611
598	10493	59579
599	10508	59547
600	10523	59517
601	10539	59492
602	10554	59457
603	10567	59417
604	10580	59370
605	10595	59339
606	10607	59296
607	10620	59253
608	10636	59224
609	10651	59192
610	10665	59158
611	10680	59127
612	10695	59097
613	10710	59062
614	10724	59030
615	10736	58979
616	10751	58951
617	10766	58921
618	10780	58884
619	10795	58855
620	10811	58828
621	10827	58801
622	10842	58771
623	10858	58746
624	10869	58697
625	10884	58665
626	10899	58636
627	10914	58604
628	10929	58575
629	10943	58541
630	10959	58514
631	10974	58482
632	10988	58449
633	11004	58424
634	11019	58395
635	11099	58706
636	11122	58722
637	11186	58950
638	11200	58914
639	11215	58880
640	11229	58847
641	11245	58817
642	11259	58784
643	11273	58748
644	11288	58715
645	11303	58685
646	11316	58643
647	11328	58600
648	11344	58572
649	11361	58553
650	11377	58528
